Nodes on the 9-th layer
Polyline 1, Number of points: 81
x y thickness
19.288781 2.263874 0.132830
18.788781 2.264510 0.132843
18.288782 2.263922 0.132881
17.788787 2.261653 0.132912
17.288809 2.257046 0.132405
16.788837 2.251793 0.131982
16.288864 2.246517 0.131874
15.788908 2.239949 0.131446
15.288960 2.232748 0.131128
14.789022 2.224880 0.130607
14.289082 2.217077 0.130075
13.789130 2.210188 0.129714
13.289170 2.203851 0.129335
12.789202 2.198231 0.128917
12.289213 2.195129 0.128547
11.789215 2.196038 0.128878
11.289223 2.198831 0.129159
10.789230 2.201270 0.130005
10.289251 2.197498 0.128966
9.789275 2.192942 0.128509
9.289278 2.191272 0.128291
8.789280 2.190373 0.129033
8.289287 2.187927 0.128031
7.789290 2.188247 0.128878
7.289290 2.188442 0.127832
6.789300 2.191398 0.128548
6.289315 2.195208 0.128675
5.789335 2.199528 0.128645
5.289384 2.206491 0.129444
4.789462 2.215258 0.129875
4.289550 2.224604 0.130040
3.789658 2.234912 0.130701
3.289793 2.246432 0.132418
2.789828 2.252183 0.132001
2.289839 2.252765 0.132964
1.790062 2.238588 0.131226
1.290940 2.209502 0.132392
1.000000 2.179460 0.127906


Nodes on the 19-th layer
Polyline 1, Number of points: 85
x y thickness
42.500000 1.090789 0.102078
42.153808 1.449201 0.105477
41.727068 1.707383 0.102226
41.273523 1.917770 0.110486
40.813792 2.114245 0.118343
40.340213 2.273231 0.123878
39.848965 2.362702 0.127498
39.350074 2.390541 0.128686
38.850173 2.383142 0.129230
38.350405 2.368042 0.129433
37.850722 2.350297 0.129641
37.350853 2.339097 0.129473
36.850949 2.329294 0.128898
36.350978 2.324540 0.128770
35.850985 2.321958 0.128862
35.350987 2.321120 0.128752
34.850987 2.321688 0.128696
34.350991 2.323482 0.128813
33.851004 2.327069 0.128955
33.351032 2.332325 0.129278
32.851057 2.337324 0.129517
32.351086 2.342713 0.129940
31.851113 2.347837 0.130226
31.351118 2.349051 0.130530
30.851132 2.345559 0.130158
30.351152 2.341054 0.129697
29.851186 2.335255 0.129541
29.351211 2.330424 0.129176
28.851214 2.328851 0.129143
28.351214 2.328894 0.129230
27.851219 2.330955 0.129393
27.351232 2.334559 0.129620
26.851256 2.339397 0.129925
26.351288 2.345040 0.130197
25.851321 2.350839 0.130660
25.351352 2.356373 0.131001
24.851379 2.361524 0.131264
24.351401 2.366209 0.131523
23.851425 2.371155 0.131757
23.351443 2.375433 0.131987
22.851454 2.378572 0.131986
22.351456 2.380149 0.131912
21.851458 2.381286 0.131792
21.351462 2.383276 0.131902
20.851473 2.386539 0.132102
20.351487 2.390395 0.132330
19.851501 2.394010 0.132604
19.351507 2.396448 0.132831
18.851508 2.397349 0.132919
18.351509 2.396742 0.132746
17.851514 2.394443 0.132504
17.351534 2.390028 0.132398
16.851564 2.384549 0.132089
16.351595 2.379027 0.131840
15.851641 2.372274 0.131490
15.351698 2.364701 0.131036
14.851764 2.356569 0.130685
14.351833 2.348298 0.130226
13.851890 2.340744 0.129679
13.351934 2.334129 0.129472
12.851969 2.328184 0.129239
12.351986 2.324304 0.128783
11.851989 2.324799 0.128874
